base_date,emd_nm,pay_amt
2018-01-01,건입동,51079
2018-01-01,남원읍,37110
2018-01-01,노형동,278317
2018-01-01,대륜동,50076
2018-01-01,대정읍,37872
2018-01-01,대천동,52008
2018-01-01,도두동,18350
2018-01-01,동홍동,122434
2018-01-01,봉개동,11825
2018-01-01,삼도1동,76456
2018-01-01,삼도2동,42080
2018-01-01,삼양동,117593
2018-01-01,서홍동,50020
2018-01-01,성산읍,12700
2018-01-01,송산동,18098
2018-01-01,아라동,129825
2018-01-01,안덕면,8868
2018-01-01,애월읍,8960
2018-01-01,연동,217156
2018-01-01,영천동,23549
2018-01-01,예래동,11381
2018-01-01,오라동,63649
2018-01-01,외도동,103940
2018-01-01,용담1동,44481
2018-01-01,용담2동,77201
2018-01-01,이도1동,47326
2018-01-01,이도2동,270145
2018-01-01,이호동,18709
2018-01-01,일도1동,21525
2018-01-01,일도2동,193728
2018-01-01,정방동,30723
2018-01-01,중문동,48940
2018-01-01,중앙동,41443
2018-01-01,천지동,32980
2018-01-01,표선면,13556
2018-01-01,화북동,141364
2018-01-01,효돈동,13116
2018-01-02,건입동,55047
2018-01-02,남원읍,47002
2018-01-02,노형동,300670
2018-01-02,대륜동,61669
2018-01-02,대정읍,38278
2018-01-02,대천동,63288
2018-01-02,도두동,22394
2018-01-02,동홍동,128508
2018-01-02,봉개동,10655
2018-01-02,삼도1동,81444
2018-01-02,삼도2동,44293
2018-01-02,삼양동,106783
2018-01-02,서홍동,54976
2018-01-02,성산읍,13234
2018-01-02,송산동,18715
2018-01-02,아라동,140065
2018-01-02,안덕면,11620
2018-01-02,애월읍,8845
2018-01-02,연동,225597
2018-01-02,영천동,23752
2018-01-02,예래동,13296
2018-01-02,오라동,65056
2018-01-02,외도동,109936
2018-01-02,용담1동,43852
2018-01-02,용담2동,78511
2018-01-02,이도1동,58407
2018-01-02,이도2동,267427
2018-01-02,이호동,23960
2018-01-02,일도1동,20300
2018-01-02,일도2동,196597
2018-01-02,정방동,28966
2018-01-02,중문동,53113
2018-01-02,중앙동,53744
2018-01-02,천지동,37057
2018-01-02,표선면,10952
2018-01-02,화북동,130733
2018-01-02,효돈동,24411
2018-01-03,건입동,42203
2018-01-03,남원읍,42080
2018-01-03,노형동,264025
2018-01-03,대륜동,56079
2018-01-03,대정읍,38456
2018-01-03,대천동,61008
2018-01-03,도두동,16095
2018-01-03,동홍동,119250
2018-01-03,봉개동,8988
2018-01-03,삼도1동,69766
2018-01-03,삼도2동,39909
2018-01-03,삼양동,92746
2018-01-03,서홍동,50533
2018-01-03,성산읍,8732
2018-01-03,송산동,23161
2018-01-03,아라동,123413
2018-01-03,안덕면,9176
2018-01-03,애월읍,6663
2018-01-03,연동,206076
2018-01-03,영천동,21506
2018-01-03,예래동,9170
2018-01-03,오라동,50231
2018-01-03,외도동,100065
2018-01-03,용담1동,41682
2018-01-03,용담2동,68050
2018-01-03,이도1동,51074
2018-01-03,이도2동,253691
2018-01-03,이호동,14903
2018-01-03,일도1동,19680
2018-01-03,일도2동,164158
2018-01-03,정방동,27568
2018-01-03,중문동,45318
2018-01-03,중앙동,53866
2018-01-03,천지동,36677
2018-01-03,표선면,15317
2018-01-03,화북동,110301
2018-01-03,효돈동,17104
2018-01-04,건입동,46606
2018-01-04,남원읍,41610
2018-01-04,노형동,271229
2018-01-04,대륜동,49272
2018-01-04,대정읍,32031
2018-01-04,대천동,51266
2018-01-04,도두동,13293
2018-01-04,동홍동,109437
2018-01-04,봉개동,14472
2018-01-04,삼도1동,74839
2018-01-04,삼도2동,42910
2018-01-04,삼양동,106643
2018-01-04,서홍동,44892
2018-01-04,성산읍,13446
2018-01-04,송산동,19190
2018-01-04,아라동,111773
2018-01-04,안덕면,7640
2018-01-04,애월읍,8227
2018-01-04,연동,210524
2018-01-04,영천동,27692
2018-01-04,예래동,9174
2018-01-04,오라동,53302
2018-01-04,외도동,95260
2018-01-04,용담1동,45530
2018-01-04,용담2동,69865
2018-01-04,이도1동,49327
2018-01-04,이도2동,243240
2018-01-04,이호동,19246
2018-01-04,일도1동,20762
2018-01-04,일도2동,177071
2018-01-04,정방동,24339
2018-01-04,중문동,49212
2018-01-04,중앙동,48243
2018-01-04,천지동,32283
2018-01-04,표선면,10969
2018-01-04,화북동,111470
2018-01-04,효돈동,17309
2018-01-05,건입동,39996
2018-01-05,남원읍,47485
2018-01-05,노형동,237881
2018-01-05,대륜동,52197
2018-01-05,대정읍,37182
2018-01-05,대천동,58605
2018-01-05,도두동,9978
2018-01-05,동홍동,124242
2018-01-05,봉개동,7933
2018-01-05,삼도1동,66908
2018-01-05,삼도2동,42040
2018-01-05,삼양동,84829
2018-01-05,서홍동,49023
2018-01-05,성산읍,10729
2018-01-05,송산동,18825
2018-01-05,아라동,108238
2018-01-05,안덕면,11032
2018-01-05,애월읍,6566
2018-01-05,연동,193390
2018-01-05,영천동,27699
2018-01-05,예래동,11916
2018-01-05,오라동,49391
2018-01-05,외도동,87919
2018-01-05,용담1동,36532
2018-01-05,용담2동,60286
2018-01-05,이도1동,47701
2018-01-05,이도2동,221284
2018-01-05,이호동,14393
2018-01-05,일도1동,20444
2018-01-05,일도2동,156974
2018-01-05,정방동,25758
2018-01-05,중문동,50283
2018-01-05,중앙동,55067
2018-01-05,천지동,40912
